"filename", "language", "Dart", "C++", "JSON", "HTML", "Swift", "XML", "YAML", "Markdown", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_reorder.dart", "Dart", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 146
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\saving_cal.dart", "Dart", 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 208
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\commit_welcom.dart", "Dart", 601, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 614
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\commitments_info.dart", "Dart", 342, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 362
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\new_commit_dropdown.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\commitment\new_commitment.dart", "Dart", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 246
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\income_info.dart", "Dart", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 246
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\dropdown\gender_dropdown.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\dropdown\living_dropdown.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 49
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\persoanl\personal_info.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 175
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\splash-screen\splash_screen.dart", "Dart", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\dheen\Desktop\UFin\ufin\lib\widget\user_image_picker.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 67
"c:\Users\dheen\Desktop\UFin\ufin\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\dheen\Desktop\UFin\ufin\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\dheen\Desktop\UFin\ufin\linux\main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\dheen\Desktop\UFin\ufin\linux\my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\dheen\Desktop\UFin\ufin\linux\my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\dheen\Desktop\UFin\ufin\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\dheen\Desktop\UFin\ufin\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\dheen\Desktop\UFin\ufin\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\dheen\Desktop\UFin\ufin\macos\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\dheen\Desktop\UFin\ufin\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 57, 18, 112
"c:\Users\dheen\Desktop\UFin\ufin\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
